매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구
596860.1749,2022,골목상권,2110955,논현초등학교,1,0,0,0,0,0,1,0,7089,4515,3430,770960,0,0,0,0,190912,0,0,0,430978.2,400407.5,2138,2863.4655495888787,0.0,0.6285618504860878,0.6285618504860878,0.4838482155452109
780426.3007,2022,골목상권,2110957,언북중학교,1,0,0,0,0,0,0,1,1761,1088,1251,172405,0,0,0,0,94815,0,0,0,153791.6,95044.5,532,2862.4135048243297,0.0,0.3164056320202499,0.7382798080472499,0.7103918228279387
526631.5679,2022,골목상권,2110967,역삼역 8번,1,0,0,0,0,0,0,1,1279,864,377,130177,0,0,0,0,68671,0,0,0,98422.2,71085.5,404,2862.8284269355845,0.0,0.5824875129239417,0.4368656346929562,0.2947615324472244
582601.6621,2022,골목상권,2110955,논현초등학교,1,0,0,0,0,0,0,1,7089,4515,3430,745639,0,0,0,0,190912,0,0,0,421422.2,381863.5,2138,2861.961760671752,0.0,0.6285618504860878,0.6285618504860878,0.4838482155452109
603875.8239,2022,골목상권,2110999,윗방죽마을공원,1,0,0,0,0,0,0,1,3177,2401,268,18452,0,1,0,0,239796,3968,0,0,10306.8,9907.5,17,2860.164071966145,0.1668084538524412,0.2085105673155515,0.4170211346311031,0.0843563109852061
609681.2217,2022,골목상권,2110999,윗방죽마을공원,1,0,0,0,0,0,0,0,3177,2401,268,19833,0,1,0,0,239796,3972,0,0,10775.0,10198.5,17,2860.918485227354,0.1668084538524412,0.2085105673155515,0.4170211346311031,0.0843563109852061
581111.3043,2022,골목상권,2110957,언북중학교,1,0,0,0,0,0,0,0,1761,1088,1251,164270,0,0,0,0,94815,0,0,0,154003.8,94870.0,532,2861.5229718112414,0.0,0.3164056320202499,0.7382798080472499,0.7103918228279387
555426.9773,2022,골목상권,2110955,논현초등학교,1,0,0,0,0,0,0,0,7089,4515,3430,706167,0,0,0,0,190912,0,0,0,406867.6,373758.0,2138,2860.4410373337387,0.0,0.5761816962789139,0.6285618504860878,0.4838482155452109
512573.2252,2022,골목상권,2110971,선정릉역 4번,1,0,0,0,0,0,0,0,3870,2549,1542,160168,0,1,0,0,133221,0,0,0,99555.0,81935.5,1728,2859.490095669855,0.0,0.5254426854625022,0.0750632407803574,0.3984496124031008
571167.0037,2020,골목상권,2110983,국립국악고등학교,0,1,0,0,0,0,1,0,2836,1257,783,88361,1,0,0,0,56041,0,0,0,61956.4,58735.5,602,2864.5020803797884,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458
636412.4601,2020,골목상권,2110983,국립국악고등학교,0,1,0,0,0,0,0,1,2836,1257,783,86883,1,0,0,0,56041,0,0,0,60867.0,57733.0,602,2866.048253789101,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458
614904.0761,2020,골목상권,2110983,국립국악고등학교,0,1,0,0,0,0,0,0,2703,1231,783,93176,1,0,0,0,56041,0,0,0,64339.6,62863.0,611,2866.969739299974,0.0,0.535322353277065,0.535322353277065,0.2896781354051054
514233.1704,2021,골목상권,2110983,국립국악고등학교,0,1,0,0,0,1,0,0,2703,1231,783,98174,1,0,0,0,56041,7425,0,0,66712.2,66143.0,611,2867.6539365866493,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
587810.5704,2022,골목상권,2110957,언북중학교,0,1,0,0,0,1,0,0,1761,1088,1251,203017,0,0,0,0,94815,0,0,0,148880.2,99452.0,532,2867.490734751739,0.0,0.3164056320202499,0.7382798080472499,0.7103918228279387
520647.9259,2022,골목상권,2110949,한남IC,0,1,0,0,0,1,0,0,564,281,1683,66649,0,0,0,0,62126,0,0,0,51430.2,45089.5,96,2867.381270604937,0.0,0.482889611434826,0.482889611434826,2.984042553191489
565110.2711,2022,골목상권,2110957,언북중학교,0,1,0,0,0,0,1,0,1761,1088,1251,213644,0,0,0,0,94815,0,0,0,160136.0,100033.0,532,2864.690441159527,0.0,0.3164056320202499,0.7382798080472499,0.7103918228279387
606042.2308,2022,골목상권,2110949,한남IC,0,1,0,0,0,0,1,0,564,281,1683,69939,0,0,0,0,62126,0,0,0,56551.8,50028.5,96,2865.4996265874142,0.0,0.482889611434826,0.482889611434826,2.984042553191489
620148.0,2022,골목상권,2110957,언북중학교,0,1,0,0,0,0,0,1,1761,1088,1251,203441,0,0,0,0,94815,0,0,0,153791.6,95044.5,532,2863.645407399401,0.0,0.3164056320202499,0.7382798080472499,0.7103918228279387
535164.029,2022,골목상권,2110983,국립국악고등학교,0,1,0,0,0,0,0,1,2703,1231,783,90515,1,0,0,0,56041,8904,0,0,64581.8,60197.0,626,2863.893261370691,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
625739.3732,2022,골목상권,2110949,한남IC,0,1,0,0,0,0,0,1,564,281,1683,66160,0,0,0,0,62126,0,0,0,54217.6,46825.0,96,2864.402436198621,0.0,0.482889611434826,0.482889611434826,2.984042553191489
513927.0109,2022,골목상권,2110955,논현초등학교,0,1,0,0,0,0,0,1,7089,4515,3430,644190,0,0,0,0,190912,0,0,0,421422.2,381863.5,2138,2863.205573931721,0.0,0.6285618504860878,0.6285618504860878,0.4838482155452109
585056.6174,2022,골목상권,2110997,대청초등학교,0,1,0,0,0,0,0,1,7187,3441,1724,386752,1,0,0,0,236963,122109,0,0,266635.8,257472.0,982,2862.0607970328074,0.3798061300709394,0.4220068111899326,1.8990306503546963,0.2398775566995964
556908.8457,2022,골목상권,2110999,윗방죽마을공원,0,1,0,0,0,0,0,1,3177,2401,268,14778,0,1,0,0,239796,71015,0,0,10306.8,9907.5,17,2861.4178175846164,0.1668084538524412,0.2085105673155515,0.4170211346311031,0.0843563109852061
545983.9848,2022,골목상권,2110999,윗방죽마을공원,0,1,0,0,0,0,0,0,3177,2401,268,15517,0,1,0,0,239796,71608,0,0,10775.0,10198.5,17,2862.1710776203317,0.1668084538524412,0.2085105673155515,0.4170211346311031,0.0843563109852061
521419.7572,2022,골목상권,2110957,언북중학교,0,1,0,0,0,0,0,0,1761,1088,1251,202839,0,0,0,0,94815,0,0,0,154003.8,94870.0,532,2862.7813567840712,0.0,0.3164056320202499,0.7382798080472499,0.7103918228279387
581195.8442,2022,골목상권,2110949,한남IC,0,1,0,0,0,0,0,0,564,281,1683,68392,0,0,0,0,62126,0,0,0,55648.2,49653.0,96,2863.373856021456,0.0,0.482889611434826,0.482889611434826,2.984042553191489
511920.8696,2022,골목상권,2110997,대청초등학교,0,1,0,0,0,0,0,0,7187,3441,1724,382164,1,0,0,0,236963,119472,0,0,262808.0,258595.5,982,2863.560829282504,0.3798061300709394,0.4220068111899326,1.8990306503546963,0.2398775566995964
516938.1522,2022,골목상권,2110983,국립국악고등학교,0,1,0,0,0,0,0,0,2703,1231,783,91423,1,0,0,0,56041,8601,0,0,63810.4,60152.5,626,2861.5238984092352,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
567679.3187,2020,골목상권,2110983,국립국악고등학교,0,0,1,0,0,1,0,0,2836,1257,783,62355,1,0,0,0,56041,0,0,0,76496.4,73060.0,602,2863.753947214076,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458
637800.696,2020,골목상권,2110983,국립국악고등학교,0,0,1,0,0,0,1,0,2836,1257,783,48322,1,0,0,0,56041,0,0,0,61956.4,58735.5,602,2865.7824903500677,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458
773746.5797,2020,골목상권,2110983,국립국악고등학교,0,0,1,0,0,0,0,1,2836,1257,783,47756,1,0,0,0,56041,0,0,0,60867.0,57733.0,602,2867.3395804103807,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458
643709.6014,2020,골목상권,2110983,국립국악고등학교,0,0,1,0,0,0,0,0,2703,1231,783,50420,1,0,0,0,56041,0,0,0,64339.6,62863.0,611,2868.2752358884163,0.0,0.535322353277065,0.535322353277065,0.2896781354051054
556304.5055,2021,골목상권,2110983,국립국악고등학교,0,0,1,0,0,0,1,0,2703,1231,783,43493,1,0,0,0,56041,2907,0,0,56425.0,55269.5,611,2869.684608455269,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
623876.4058,2021,골목상권,2110983,국립국악고등학교,0,0,1,0,0,0,0,1,2703,1231,783,51938,1,0,0,0,56041,2976,0,0,64719.8,63413.5,611,2870.4042282917007,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
590988.3659,2021,골목상권,2110983,국립국악고등학교,0,0,1,0,0,0,0,0,2703,1231,783,51733,1,0,0,0,56041,3234,0,0,61671.2,60118.0,626,2869.740634564849,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
578871.3444,2022,골목상권,2110983,국립국악고등학교,0,0,1,0,0,1,0,0,2703,1231,783,54003,1,0,0,0,56041,3108,0,0,62890.2,61365.5,626,2868.090195577512,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
569706.5704,2022,골목상권,2110957,언북중학교,0,0,1,0,0,1,0,0,1761,1088,1251,162124,0,0,0,0,94815,0,0,0,148880.2,99452.0,532,2868.879310721363,0.0,0.3164056320202499,0.7382798080472499,0.7103918228279387
593604.6815,2022,골목상권,2110949,한남IC,0,0,1,0,0,1,0,0,564,281,1683,55978,0,0,0,0,62126,0,0,0,51430.2,45089.5,96,2868.7732405085094,0.0,0.482889611434826,0.482889611434826,2.984042553191489
607616.3956,2022,골목상권,2110949,한남IC,0,0,1,0,0,0,1,0,564,281,1683,62095,0,0,0,0,62126,0,0,0,56551.8,50028.5,96,2866.9176733218665,0.0,0.482889611434826,0.482889611434826,2.984042553191489
655491.5861,2022,골목상권,2110983,국립국악고등학교,0,0,1,0,0,0,1,0,2703,1231,783,55445,1,0,0,0,56041,3496,0,0,66689.2,63065.5,626,2864.8273389603387,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
732451.0688,2022,골목상권,2110983,국립국악고등학교,0,0,1,0,0,0,0,1,2703,1231,783,54081,1,0,0,0,56041,3649,0,0,64581.8,60197.0,626,2865.3428091075903,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
602919.5978,2022,골목상권,2110949,한남IC,0,0,1,0,0,0,0,1,564,281,1683,58706,0,0,0,0,62126,0,0,0,54217.6,46825.0,96,2865.852453048734,0.0,0.482889611434826,0.482889611434826,2.984042553191489
504432.4174,2022,골목상권,2110999,윗방죽마을공원,0,0,1,0,0,0,0,1,3177,2401,268,8288,0,1,0,0,239796,31277,0,0,10306.8,9907.5,17,2862.884933214791,0.1668084538524412,0.2085105673155515,0.4170211346311031,0.0843563109852061
542988.3478,2022,골목상권,2110999,윗방죽마을공원,0,0,1,0,0,0,0,0,3177,2401,268,8429,0,1,0,0,239796,32274,0,0,10775.0,10198.5,17,2863.6374899235902,0.1668084538524412,0.2085105673155515,0.4170211346311031,0.0843563109852061
566608.2971,2022,골목상권,2110949,한남IC,0,0,1,0,0,0,0,0,564,281,1683,60132,0,0,0,0,62126,0,0,0,55648.2,49653.0,96,2864.8457911583364,0.0,0.482889611434826,0.482889611434826,2.984042553191489
600067.3659,2022,골목상권,2110983,국립국악고등학교,0,0,1,0,0,0,0,0,2703,1231,783,54074,1,0,0,0,56041,3432,0,0,63810.4,60152.5,626,2863.007970668901,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
594502.3993,2020,골목상권,2110983,국립국악고등학교,0,0,0,1,0,1,0,0,2836,1257,783,61806,1,0,0,0,56041,0,0,0,76496.4,73060.0,602,2865.2447498742736,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458
645704.9853,2020,골목상권,2110983,국립국악고등학교,0,0,0,1,0,0,1,0,2836,1257,783,47339,1,0,0,0,56041,0,0,0,61956.4,58735.5,602,2867.2842123337323,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458
633260.8696,2020,골목상권,2110983,국립국악고등학교,0,0,0,1,0,0,0,1,2836,1257,783,46686,1,0,0,0,56041,0,0,0,60867.0,57733.0,602,2868.855310540749,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458
633462.087,2020,골목상권,2110983,국립국악고등학교,0,0,0,1,0,0,0,0,2703,1231,783,49511,1,0,0,0,56041,0,0,0,64339.6,62863.0,611,2869.8082387577715,0.0,0.535322353277065,0.535322353277065,0.2896781354051054
630984.8296,2021,골목상권,2110983,국립국악고등학교,0,0,0,1,0,1,0,0,2703,1231,783,50566,1,0,0,0,56041,3392,0,0,66712.2,66143.0,611,2870.52668082988,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
661501.2894,2021,골목상권,2110983,국립국악고등학교,0,0,0,1,0,0,1,0,2703,1231,783,44010,1,0,0,0,56041,3481,0,0,56425.0,55269.5,611,2871.255201959575,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
669399.8986,2021,골목상권,2110983,국립국악고등학교,0,0,0,1,0,0,0,1,2703,1231,783,52221,1,0,0,0,56041,3457,0,0,64719.8,63413.5,611,2871.9939393218065,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
549690.4348,2021,골목상권,2110983,국립국악고등학교,0,0,0,1,0,0,0,0,2703,1231,783,51530,1,0,0,0,56041,3716,0,0,61671.2,60118.0,626,2871.355911271949,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
548754.1148,2022,골목상권,2110983,국립국악고등학교,0,0,0,1,0,1,0,0,2703,1231,783,53724,1,0,0,0,56041,3521,0,0,62890.2,61365.5,626,2869.7215514090467,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
547681.9556,2022,골목상권,2110949,한남IC,0,0,0,1,0,1,0,0,564,281,1683,58445,0,0,0,0,62126,0,0,0,51430.2,45089.5,96,2870.4072471130694,0.0,0.482889611434826,0.482889611434826,2.984042553191489
543550.5018,2022,골목상권,2110949,한남IC,0,0,0,1,0,0,1,0,564,281,1683,65093,0,0,0,0,62126,0,0,0,56551.8,50028.5,96,2868.5803863894216,0.0,0.482889611434826,0.482889611434826,2.984042553191489
627337.641,2022,골목상권,2110983,국립국악고등학교,0,0,0,1,0,0,1,0,2703,1231,783,57989,1,0,0,0,56041,4216,0,0,66689.2,63065.5,626,2866.514679517285,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
530176.4928,2022,골목상권,2110957,언북중학교,0,0,0,1,0,0,0,1,1761,1088,1251,167345,0,0,0,0,94815,0,0,0,153791.6,95044.5,532,2866.779946360712,0.0,0.3164056320202499,0.7382798080472499,0.7103918228279387
647823.6341,2022,골목상권,2110983,국립국악고등학교,0,0,0,1,0,0,0,1,2703,1231,783,55726,1,0,0,0,56041,4406,0,0,64581.8,60197.0,626,2867.040744308716,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
586753.7645,2022,골목상권,2110949,한남IC,0,0,0,1,0,0,0,1,564,281,1683,61603,0,0,0,0,62126,0,0,0,54217.6,46825.0,96,2867.551360693065,0.0,0.482889611434826,0.482889611434826,2.984042553191489
553509.0217,2022,골목상권,2110999,윗방죽마을공원,0,0,0,1,0,0,0,1,3177,2401,268,8296,0,1,0,0,239796,42655,0,0,10306.8,9907.5,17,2864.6011789552167,0.1668084538524412,0.2085105673155515,0.4170211346311031,0.0843563109852061
550521.1978,2022,골목상권,2110999,윗방죽마을공원,0,0,0,1,0,0,0,0,3177,2401,268,8392,0,1,0,0,239796,45677,0,0,10775.0,10198.5,17,2865.353548739962,0.1668084538524412,0.2085105673155515,0.4170211346311031,0.0843563109852061
499809.4855,2022,골목상권,2110957,언북중학교,0,0,0,1,0,0,0,0,1761,1088,1251,169758,0,0,0,0,94815,0,0,0,154003.8,94870.0,532,2865.979961916571,0.0,0.3164056320202499,0.7382798080472499,0.7103918228279387
533281.0906,2022,골목상권,2110949,한남IC,0,0,0,1,0,0,0,0,564,281,1683,62872,0,0,0,0,62126,0,0,0,55648.2,49653.0,96,2866.569263486198,0.0,0.482889611434826,0.482889611434826,2.984042553191489
563419.2355,2022,골목상권,2110983,국립국악고등학교,0,0,0,1,0,0,0,0,2703,1231,783,54822,1,0,0,0,56041,4156,0,0,63810.4,60152.5,626,2864.743975281166,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
907703.0842,2020,골목상권,2110983,국립국악고등학교,0,0,0,0,1,1,0,0,2836,1257,783,83707,1,0,0,0,56041,0,0,0,76496.4,73060.0,602,2866.990420052339,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458
502593.9011,2020,골목상권,2110971,선정릉역 4번,0,0,0,0,1,0,1,0,3836,2425,1542,128720,1,1,0,4,133221,0,0,0,129777.4,105131.5,1637,2869.2854104642965,0.0,0.675569167023217,0.5254426854625022,0.4019812304483837
513341.0714,2020,골목상권,2110975,매봉역 1번,0,0,0,0,1,0,1,0,944,361,10837,53845,0,0,0,0,52363,87447,514015,1,40955.8,39348.0,250,2868.129554501328,0.5729236292802169,1.1458472585604338,2.100719974027462,11.479872881355933
867282.1905,2020,골목상권,2110983,국립국악고등학교,0,0,0,0,1,0,1,0,2836,1257,783,63170,1,0,0,0,56041,0,0,0,61956.4,58735.5,602,2869.044256599292,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458
557741.0285,2020,골목상권,2110971,선정릉역 4번,0,0,0,0,1,0,0,1,3836,2425,1542,132760,1,1,0,4,133221,0,0,0,134334.8,111264.0,1637,2871.36022104122,0.0,0.6005059262428596,0.5254426854625022,0.4019812304483837
617999.2464,2020,골목상권,2110975,매봉역 1번,0,0,0,0,1,0,0,1,944,361,10837,54141,0,0,0,0,52363,87071,530931,1,41217.2,39490.5,250,2870.2073787355407,0.5729236292802169,1.1458472585604338,2.100719974027462,11.479872881355933
1295615.746,2020,골목상권,2110983,국립국악고등학교,0,0,0,0,1,0,0,1,2836,1257,783,61352,1,0,0,0,56041,0,0,0,60867.0,57733.0,602,2870.632941180809,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458
601352.3768,2020,골목상권,2110971,선정릉역 4번,0,0,0,0,1,0,0,0,3870,2549,1542,131149,0,1,0,0,133221,0,0,0,131744.8,111778.5,1663,2872.658651847527,0.0,0.675569167023217,0.0750632407803574,0.3984496124031008
523843.6069,2020,골목상권,2110975,매봉역 1번,0,0,0,0,1,0,0,0,890,353,10837,51402,0,0,0,0,52363,87922,535454,1,39603.6,37968.0,250,2871.4205143170866,0.5729236292802169,1.1458472585604338,2.291694517120868,12.176404494382025
1242315.109,2020,골목상권,2110983,국립국악고등학교,0,0,0,0,1,0,0,0,2703,1231,783,66412,1,0,0,0,56041,0,0,0,64339.6,62863.0,611,2871.606738272164,0.0,0.535322353277065,0.535322353277065,0.2896781354051054
624140.1815,2021,골목상권,2110971,선정릉역 4번,0,0,0,0,1,1,0,0,3870,2549,1542,125120,0,1,0,0,133221,0,0,0,127036.4,107818.0,1663,2873.396273058084,0.0,0.675569167023217,0.0750632407803574,0.3984496124031008
512828.7444,2021,골목상권,2110975,매봉역 1번,0,0,0,0,1,1,0,0,890,353,10837,56943,0,0,0,0,52363,44941,535530,1,42377.2,40289.5,250,2872.1595435933923,0.3819490861868113,1.1458472585604338,2.291694517120868,12.176404494382025
1217231.215,2021,골목상권,2110983,국립국악고등학교,0,0,0,0,1,1,0,0,2703,1231,783,68094,1,0,0,0,56041,4749,0,0,66712.2,66143.0,611,2872.34750135224,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
567309.4762,2021,골목상권,2110971,선정릉역 4번,0,0,0,0,1,0,1,0,3870,2549,1542,118168,0,1,0,0,133221,0,0,0,122304.0,102460.0,1663,2874.144199936965,0.0,0.675569167023217,0.0750632407803574,0.3984496124031008
1208379.484,2021,골목상권,2110983,국립국악고등학교,0,0,0,0,1,0,1,0,2703,1231,783,58600,1,0,0,0,56041,4572,0,0,56425.0,55269.5,611,2873.098605407516,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
680018.4928,2021,골목상권,2110971,선정릉역 4번,0,0,0,0,1,0,0,1,3870,2549,1542,97367,0,1,0,0,133221,0,0,0,100166.4,87818.0,1663,2874.902572061224,0.0,0.675569167023217,0.0750632407803574,0.3984496124031008
635194.9475,2021,골목상권,2110975,매봉역 1번,0,0,0,0,1,0,0,1,890,353,10837,64870,0,0,0,0,52363,30545,528455,1,52927.6,46417.5,250,2873.668693265712,0.3819490861868113,1.1458472585604338,2.291694517120868,12.176404494382025
1177033.587,2021,골목상권,2110983,국립국악고등학교,0,0,0,0,1,0,0,1,2703,1231,783,68827,1,0,0,0,56041,4391,0,0,64719.8,63413.5,611,2873.8601904845395,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
609408.9239,2021,골목상권,2110971,선정릉역 4번,0,0,0,0,1,0,0,0,3870,2549,1542,96934,0,1,0,0,133221,0,0,0,99491.8,83629.0,1728,2874.4345676667654,0.0,0.675569167023217,0.0750632407803574,0.3984496124031008
500398.3043,2021,골목상권,2110975,매봉역 1번,0,0,0,0,1,0,0,0,890,353,10837,59742,0,0,0,0,52363,32884,582763,1,46040.0,40050.0,250,2873.137042966152,0.3819490861868113,1.1458472585604338,2.291694517120868,12.176404494382025
969268.7174,2021,골목상권,2110983,국립국악고등학교,0,0,0,0,1,0,0,0,2703,1231,783,66390,1,0,0,0,56041,4558,0,0,61671.2,60118.0,626,2873.2513327013603,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
1150231.333,2022,골목상권,2110983,국립국악고등학교,0,0,0,0,1,1,0,0,2703,1231,783,69272,1,0,0,0,56041,4246,0,0,62890.2,61365.5,626,2871.6342667724184,0.1784407844256883,0.535322353277065,0.535322353277065,0.2896781354051054
